date,open,high,low,close,volume,symbol,name
2024-04-25 12:00:00,169.1876,170.84,168.86,170.32,19890507,AAPL,Apple Inc.
2024-04-24 12:00:00,168.725,169.3,168.03,168.7,18012633,AAPL,Apple Inc.
2024-04-23 12:00:00,166.27,167.08,166.17,167.0398,19437761,AAPL,Apple Inc.
2024-04-22 12:00:00,165.6142,167.26,165.43,165.61,20463873,AAPL,Apple Inc.
2024-04-19 12:00:00,164.37,165.67,164.18,165.03,27139469,AAPL,Apple Inc.
2024-04-18 12:00:00,167.565,167.7,166.55,167.0101,18144875,AAPL,Apple Inc.
2024-04-17 12:00:00,168.7,169.18,168,168.17,19995633,AAPL,Apple Inc.
2024-04-16 12:00:00,169.41,170.4,168.4,169.44,25700252,AAPL,Apple Inc.
2024-04-15 12:00:00,175.095,175.57,172.5,172.61,30562356,AAPL,Apple Inc.
2024-04-12 12:00:00,175.6,176.92,174.8,176.9,34802687,AAPL,Apple Inc.
2024-04-11 12:00:00,169.92,175.47,169.84,175.23,57254842,AAPL,Apple Inc.
2024-04-10 12:00:00,168.02,168.685,167.63,167.92,18833103,AAPL,Apple Inc.
2024-04-09 12:00:00,169.07,169.79,168.35,169.59,18387442,AAPL,Apple Inc.
2024-04-08 12:00:00,168.415,168.96,168.325,168.43,14107674,AAPL,Apple Inc.
2024-04-05 12:00:00,170.17,170.375,169.35,169.55,16459705,AAPL,Apple Inc.
2024-04-04 12:00:00,171.725,171.8699,168.77,168.98,27305497,AAPL,Apple Inc.
2024-04-03 12:00:00,170.31,170.61,169.25,169.73,20584816,AAPL,Apple Inc.
2024-04-02 12:00:00,168.68,169.2201,168.64,168.85,19243612,AAPL,Apple Inc.
2024-04-01 12:00:00,169.895,170.24,169.76,169.8,15686184,AAPL,Apple Inc.
2024-03-28 12:00:00,171.17,172.23,170.89,171.24,24478858,AAPL,Apple Inc.
2024-03-27 12:00:00,172.05,173.69,172,173.31,23245550,AAPL,Apple Inc.
2024-03-26 12:00:00,171.24,171.42,169.58,169.92,23958840,AAPL,Apple Inc.
2024-03-25 12:00:00,170.735,171.94,170.64,170.87,20491990,AAPL,Apple Inc.
2024-03-22 12:00:00,172.365,173.05,172.08,172.26,23651768,AAPL,Apple Inc.
2024-03-21 12:00:00,172.57,172.6,170.84,171.54,38251017,AAPL,Apple Inc.
2024-03-20 12:00:00,176.38,178.68,176.28,177.88,28683851,AAPL,Apple Inc.
2024-03-19 12:00:00,175.315,176.605,175.17,175.64,22854353,AAPL,Apple Inc.
